,location_id,year,PAINDX2_yes_value,PAINDX2_yes_sample,PAINDX2_no_value,PAINDX2_no_sample,PASTAE2_yes_value,PASTAE2_yes_sample,PASTAE2_no_value,PASTAE2_no_sample,PASTRNG_yes_value,PASTRNG_yes_sample,PASTRNG_no_value,PASTRNG_no_sample,TOTINDA_yes_value,TOTINDA_yes_sample,TOTINDA_no_value,TOTINDA_no_sample
82,20,2021,,,,,,,,,,,,,76.4,13236,23.6,4301
83,21,2015,45.2,3394.0,54.8,4323.0,18.0,1164.0,82.0,6462.0,28.4,1945.0,71.6,5989.0,67.5,5305,32.5,2765
84,21,2016,,,,,,,,,,,,,70.2,7129,29.8,3124
85,21,2017,44.7,3286.0,55.3,4373.0,16.8,1135.0,83.2,6439.0,26.4,1931.0,73.6,5990.0,65.6,5127,34.4,2921
86,21,2018,,,,,,,,,,,,,67.6,5554,32.4,2983
87,21,2019,35.3,1763.0,64.7,3414.0,15.3,682.0,84.7,4416.0,27.0,1816.0,73.0,5696.0,67.2,5095,32.8,2622
88,21,2020,,,,,,,,,,,,,69.4,2680,30.6,1250
89,21,2021,,,,,,,,,,,,,69.5,3698,30.5,1724
90,22,2015,46.2,1806.0,53.8,2221.0,18.7,636.0,81.3,3343.0,27.2,984.0,72.8,3172.0,68.1,2779,31.9,1457
91,22,2016,,,,,,,,,,,,,70.9,3579,29.1,1671
92,22,2017,45.0,1884.0,55.0,2208.0,17.8,669.0,82.2,3355.0,28.0,1064.0,72.0,3106.0,68.2,2902,31.8,1374
93,22,2018,,,,,,,,,,,,,69.2,3597,30.8,1524
94,22,2019,44.9,1895.0,55.1,2221.0,19.7,779.0,80.3,3187.0,34.2,1384.0,65.8,2786.0,68.1,3007,31.9,1392
95,22,2020,,,,,,,,,,,,,71.0,3336,29.0,1409
96,22,2021,,,,,,,,,,,,,70.6,3635,29.4,1458
